epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.938,1.16866,1.19974,1.34548,0.91,0.84389,0.91212,0.61037,1.08493,0.69269,1.24398,0.00333097,0.00333097,0.00333097
2,294.28,1.13328,0.97686,1.31864,0.85461,0.76878,0.85561,0.54299,1.19763,0.86362,1.37322,0.00657633,0.00657633,0.00657633
3,432.034,1.23019,1.11914,1.39024,0.81525,0.72678,0.82244,0.5052,1.27937,0.98919,1.42046,0.0097337,0.0097337,0.0097337
4,569.213,1.26432,1.17313,1.42198,0.88993,0.79457,0.8751,0.5555,1.17412,0.89635,1.34372,0.009604,0.009604,0.009604
5,705.885,1.19204,1.07661,1.37731,0.89718,0.82522,0.89047,0.57133,1.17141,0.82095,1.32132,0.009472,0.009472,0.009472
6,843.01,1.14735,1.01696,1.3479,0.91044,0.8326,0.90756,0.61664,1.04307,0.74075,1.22809,0.00934,0.00934,0.00934
7,980.808,1.11208,0.96485,1.32174,0.93062,0.8376,0.91678,0.62622,1.02643,0.72232,1.22032,0.009208,0.009208,0.009208
8,1117.66,1.08081,0.92984,1.29931,0.90722,0.84062,0.91324,0.63677,0.9799,0.70787,1.18226,0.009076,0.009076,0.009076
9,1254.99,1.05928,0.89269,1.28396,0.91099,0.87014,0.92597,0.64991,0.9571,0.67687,1.17191,0.008944,0.008944,0.008944
10,1390.86,1.04179,0.86683,1.27084,0.9286,0.87684,0.93471,0.66534,0.94245,0.61587,1.16804,0.008812,0.008812,0.008812
11,1525.98,1.0296,0.8487,1.26466,0.94334,0.87783,0.94401,0.69051,0.90173,0.60372,1.14012,0.00868,0.00868,0.00868
12,1662.3,1.01459,0.83849,1.2529,0.92009,0.87526,0.93835,0.68252,0.89576,0.62399,1.12085,0.008548,0.008548,0.008548
13,1798.33,0.99557,0.80746,1.23783,0.9288,0.88688,0.94175,0.68677,0.87607,0.60191,1.11256,0.008416,0.008416,0.008416
14,1932.97,0.98655,0.81063,1.23342,0.9422,0.88597,0.94608,0.69924,0.87208,0.57758,1.10009,0.008284,0.008284,0.008284
15,2067.69,0.97405,0.79374,1.22848,0.93303,0.90362,0.95381,0.70963,0.85324,0.55707,1.09293,0.008152,0.008152,0.008152
16,2202.12,0.96303,0.77821,1.21965,0.94938,0.8911,0.95342,0.71008,0.85349,0.55129,1.08995,0.00802,0.00802,0.00802
17,2337.07,0.95878,0.76948,1.21862,0.93503,0.90525,0.95599,0.72079,0.8388,0.53411,1.08293,0.007888,0.007888,0.007888
18,2472.35,0.94876,0.75279,1.21153,0.95166,0.89967,0.95556,0.71687,0.83902,0.53145,1.08152,0.007756,0.007756,0.007756
19,2606.14,0.93624,0.74267,1.20125,0.94398,0.91403,0.95844,0.72259,0.83481,0.52182,1.0769,0.007624,0.007624,0.007624
20,2739.54,0.93009,0.73796,1.19537,0.94706,0.91267,0.95994,0.72431,0.8225,0.51179,1.06716,0.007492,0.007492,0.007492
21,2873.34,0.92272,0.71842,1.18992,0.9531,0.91312,0.96105,0.73397,0.80664,0.5112,1.06037,0.00736,0.00736,0.00736
22,3007.13,0.92402,0.72096,1.19084,0.94185,0.90884,0.9616,0.73667,0.80419,0.50534,1.05589,0.007228,0.007228,0.007228
23,3140.71,0.90969,0.70757,1.18354,0.94531,0.91629,0.96245,0.73567,0.80017,0.51187,1.05725,0.007096,0.007096,0.007096
24,3274.65,0.90708,0.70768,1.1798,0.94059,0.91704,0.96319,0.73836,0.79687,0.50548,1.04738,0.006964,0.006964,0.006964
25,3409.35,0.89673,0.70135,1.17523,0.9501,0.91326,0.96552,0.74067,0.78944,0.4951,1.04421,0.006832,0.006832,0.006832
26,3543.06,0.88804,0.69197,1.17079,0.9526,0.91841,0.96541,0.74278,0.789,0.4823,1.04763,0.0067,0.0067,0.0067
27,3677.56,0.88423,0.68512,1.16408,0.94915,0.91991,0.96505,0.74815,0.77353,0.48973,1.03624,0.006568,0.006568,0.006568
28,3813.43,0.87561,0.67641,1.1625,0.94753,0.91584,0.96427,0.74686,0.78145,0.47991,1.04253,0.006436,0.006436,0.006436
29,3949.26,0.87328,0.66907,1.15857,0.94138,0.92851,0.96663,0.74861,0.77737,0.47209,1.03842,0.006304,0.006304,0.006304
30,4084.83,0.8656,0.66334,1.15744,0.94265,0.92218,0.96649,0.75458,0.77196,0.4726,1.03438,0.006172,0.006172,0.006172
31,4220.35,0.86017,0.65381,1.15359,0.94549,0.91826,0.96601,0.75646,0.7656,0.46848,1.0296,0.00604,0.00604,0.00604
32,4355.22,0.86065,0.65059,1.15089,0.94343,0.9206,0.96565,0.75841,0.76183,0.46509,1.02359,0.005908,0.005908,0.005908
33,4491.92,0.85233,0.64799,1.14419,0.94331,0.92609,0.96539,0.75695,0.75808,0.4698,1.02418,0.005776,0.005776,0.005776
34,4626.93,0.85272,0.63727,1.14403,0.93759,0.92456,0.96562,0.75797,0.7561,0.4676,1.02222,0.005644,0.005644,0.005644
35,4764.06,0.84294,0.63717,1.14328,0.93934,0.925,0.96648,0.75702,0.75365,0.46622,1.02281,0.005512,0.005512,0.005512
36,4899.43,0.84405,0.6279,1.14001,0.94269,0.92127,0.96654,0.75947,0.75205,0.46158,1.0234,0.00538,0.00538,0.00538
37,5036.29,0.83538,0.62047,1.13283,0.93836,0.92991,0.96609,0.76131,0.75098,0.45559,1.02179,0.005248,0.005248,0.005248
38,5172.65,0.82952,0.6209,1.13479,0.94393,0.9293,0.96647,0.76219,0.75216,0.4525,1.0242,0.005116,0.005116,0.005116
39,5308.5,0.8231,0.60628,1.12933,0.94623,0.93156,0.96655,0.76211,0.75199,0.44949,1.02448,0.004984,0.004984,0.004984
40,5444.93,0.81876,0.60533,1.1252,0.94242,0.93318,0.96705,0.76164,0.75041,0.45094,1.02295,0.004852,0.004852,0.004852
41,5580.93,0.81872,0.60528,1.12498,0.94004,0.93348,0.96619,0.7614,0.74921,0.45041,1.02088,0.00472,0.00472,0.00472
42,5716.85,0.81178,0.60108,1.12174,0.94426,0.93523,0.96655,0.76322,0.75073,0.44805,1.02249,0.004588,0.004588,0.004588
43,5853.09,0.80987,0.5937,1.1192,0.94626,0.93223,0.96646,0.76396,0.74899,0.44806,1.0202,0.004456,0.004456,0.004456
