epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3344,1.26176,2.00659,1.60671,0.2982,0.375,0.21555,0.06903,2.40834,3.8,3.04355,0.00066343,0.00066343,0.00066343
2,148.48,1.45145,1.5302,1.74915,0.43475,0.38816,0.31851,0.12456,2.10135,4.81646,2.74156,0.0012862,0.0012862,0.0012862
3,220.411,1.45036,1.5459,1.73995,0.51902,0.46491,0.42912,0.17595,1.99065,2.2678,2.72921,0.00186498,0.00186498,0.00186498
4,290.398,1.35029,1.43552,1.67545,0.57957,0.63182,0.60676,0.29043,1.66635,1.49667,2.19163,0.001802,0.001802,0.001802
5,362.075,1.29022,1.3146,1.62672,0.72783,0.6557,0.717,0.37187,1.51163,1.29884,2.03626,0.001736,0.001736,0.001736
6,433.751,1.25065,1.23327,1.58698,0.74761,0.64254,0.72885,0.39644,1.46708,1.31511,1.99859,0.00167,0.00167,0.00167
7,504.528,1.17933,1.16299,1.52902,0.79768,0.75439,0.83726,0.49112,1.27327,1.11937,1.76517,0.001604,0.001604,0.001604
8,575.66,1.14624,1.10763,1.51354,0.78196,0.75503,0.82564,0.49364,1.32809,1.09304,1.8412,0.001538,0.001538,0.001538
9,647.185,1.12045,1.08025,1.48723,0.78635,0.78947,0.83871,0.5245,1.18707,1.01598,1.68702,0.001472,0.001472,0.001472
10,718.096,1.086,1.04237,1.45882,0.83165,0.79825,0.86576,0.53544,1.22917,0.94505,1.75384,0.001406,0.001406,0.001406
11,788.653,1.08233,0.99435,1.45485,0.83921,0.82408,0.88323,0.55484,1.21877,0.87904,1.70791,0.00134,0.00134,0.00134
12,859.887,1.04245,0.95661,1.42657,0.83605,0.794,0.88434,0.57,1.15965,0.95563,1.63888,0.001274,0.001274,0.001274
13,930.231,1.02288,0.94778,1.41582,0.89997,0.82675,0.91282,0.60525,1.06831,0.83474,1.55825,0.001208,0.001208,0.001208
14,1000.18,0.99675,0.88845,1.38539,0.86499,0.88158,0.92643,0.63831,1.0333,0.76774,1.52508,0.001142,0.001142,0.001142
15,1071.76,0.96386,0.86046,1.36379,0.85299,0.86184,0.91414,0.63337,1.0354,0.76676,1.5154,0.001076,0.001076,0.001076
16,1141.58,0.94904,0.83733,1.35596,0.85183,0.86623,0.9209,0.6274,1.07397,0.76304,1.53327,0.00101,0.00101,0.00101
17,1211.78,0.92136,0.81737,1.33866,0.86912,0.87379,0.92641,0.64088,0.99652,0.75311,1.49142,0.000944,0.000944,0.000944
18,1284.16,0.92007,0.80641,1.33971,0.87603,0.86842,0.92889,0.64589,1.00959,0.72609,1.49055,0.000878,0.000878,0.000878
19,1355.11,0.89274,0.77852,1.31817,0.89618,0.87073,0.93979,0.66049,0.96578,0.6998,1.44771,0.000812,0.000812,0.000812
20,1426.74,0.89425,0.75617,1.31497,0.88162,0.86623,0.91946,0.65242,0.95302,0.71154,1.44539,0.000746,0.000746,0.000746
21,1498.22,0.83039,0.61972,1.35691,0.88994,0.88158,0.93386,0.67465,0.92736,0.65565,1.40727,0.00068,0.00068,0.00068
22,1568.52,0.80437,0.58017,1.33507,0.90368,0.88471,0.94163,0.70057,0.89483,0.60459,1.38376,0.000614,0.000614,0.000614
23,1638.05,0.77899,0.54644,1.30594,0.91825,0.91009,0.94785,0.7174,0.84479,0.58704,1.32667,0.000548,0.000548,0.000548
24,1708.14,0.74041,0.52599,1.28606,0.92005,0.91447,0.94822,0.72257,0.84542,0.55416,1.33308,0.000482,0.000482,0.000482
25,1778.07,0.72294,0.50756,1.26564,0.88805,0.92203,0.94963,0.71884,0.8213,0.57789,1.30479,0.000416,0.000416,0.000416
26,1846.94,0.6975,0.48423,1.24686,0.92856,0.91667,0.95689,0.73076,0.80747,0.5476,1.30023,0.00035,0.00035,0.00035
27,1917,0.66668,0.45614,1.21721,0.92193,0.93236,0.96488,0.76001,0.7544,0.5089,1.23982,0.000284,0.000284,0.000284
28,1986.31,0.6535,0.44564,1.20486,0.93126,0.9364,0.96869,0.7725,0.74664,0.50279,1.23409,0.000218,0.000218,0.000218
29,2056.21,0.62704,0.42331,1.18521,0.91632,0.9365,0.9683,0.76991,0.72723,0.47963,1.21565,0.000152,0.000152,0.000152
30,2126.98,0.60827,0.40803,1.17791,0.93304,0.91677,0.96854,0.78679,0.70783,0.4673,1.1967,8.6e-05,8.6e-05,8.6e-05
